Province,District,Division,Houses Damaged,Affected
North-Western,Kurunegala,Ganewatta,7,18
North-Western,Kurunegala,Maspotha,0,36
North-Western,Kurunegala,Wariyapola,0,10
North-Western,Kurunegala,Kurunegala,2,12
North-Western,Kurunegala,Mallawapitiya,0,14
North-Western,Puttalam,Mahakumbukkadawala,13,316
North-Western,Puttalam,Wennappuwa,13,1577
Western,Kalutara,Madurawala,11,1615
Western,Kalutara,Ingiriya,6,301
Western,Colombo,Colombo,0,593
Western,Colombo,Kaduwela,1922,7216
Western,Colombo,Kesbewa,14,126
Western,Colombo,Sri Jayawardanapura Kotte,43,157
Western,Colombo,Thimbirigasyaya,0,904
North-Western,Kurunegala,Paduwasnuwara west,5,889
North-Western,Kurunegala,Panduwasnuwara East,0,249
North-Western,Kurunegala,Kobeigane,0,12
North-Western,Kurunegala,Kotavehera,1,11
Northern,Jaffna,Island North(Kayts),1,4
Northern,Jaffna,Valikamam South (Uduvil),0,5
Central,Nuwara Eliya,Ambagamuwakorale,0,28
Central,Nuwara Eliya,Kothmale,3,18
Southern,Matara,Thihagoda,9,139
Southern,Matara,Welipitiya,4,16
Southern,Matara,Hakmana,28,106
Southern,Matara,Athuraliya,5,26
Southern,Matara,Pitabeddara,3,13
North-Western,Puttalam,Kalpitiya,85,2758
North-Western,Puttalam,Nawagattegama,0,34
Western,Kalutara,Beruwala,11,161
Western,Kalutara,Panadura,6,30
Eastern,Batticaloa,Eravur Pattu (Chenkalady),0,1216
North-Western,Kurunegala,Polgahawela,69,287
Eastern,Batticaloa,Manmunai North (Batti Town),1,1
Eastern,Batticaloa,Koralai Pattu (Valachchenai),0,3
Central,Kandy,Akurana,0,83
Central,Kandy,Poojapitiya,1,10
Central,Kandy,Harispattuwa,2,15
North-Western,Puttalam,Mahawewa,0,18
Southern,Galle,Akmeemana,10,1125
Western,Colombo,Sri Jayawardanapura Kotte,0,2863
Western,Colombo,Maharagama,6,386
Western,Colombo,Moratuwa,0,3782
Western,Colombo,Kolonnawa,5,4003
Western,Colombo,Thimbirigasyaya,0,2225
Western,Colombo,Colombo,0,2845
Western,Colombo,Hanwella,0,4
Western,Colombo,Kesbewa,24,540
Western,Colombo,Homagama,177,596
Western,Colombo,Padukka,11,47
Western,Colombo,Ratmalana,0,110
Western,Colombo,Kaduwela,28,254
Western,Gampaha,Gampaha,0,91
Western,Gampaha,Attanagalla,3,10
Western,Gampaha,Wattala,3,8330
Western,Gampaha,Biyagama,4,91
Western,Gampaha,Mahara,2,344
Western,Gampaha,Kelaniya,1,8413
North-Central,Anuradhapura,Nachchadoowa,0,94
Central,Kandy,Udapalatha,8,55
Central,Kandy,Akurana,4,21
Central,Kandy,Pasbage Korale,0,6
Central,Kandy,Medadumbara,28,118
North-Western,Puttalam,Chilaw,0,65
North-Western,Puttalam,Vanathavilluwa,6,20
Southern,Galle,Niyagama,172,668
Southern,Galle,Yakkalamulla,68,1828
Southern,Galle,Baddegama,5,405
Southern,Galle,Habaraduwa,19,620
Southern,Galle,Nagoda,245,3105
Southern,Galle,Galle Four Gravets,6,2657
Southern,Galle,Imaduwa,43,791
Southern,Galle,Elpitiya,261,3691
Southern,Galle,Welivitiya-Divithura,1,64
Central,Nuwara Eliya,Nuwara Eliya,0,55
Southern,Matara,Welipitiya,4,18
Southern,Matara,Pitabeddara,12,50
Southern,Matara,Hakmana,1,4
Southern,Matara,Mulatiyana,4,15
Northern,Mannar,Madhu,0,184
Uva,Moneragala,Buttala,15,54
Central,Kandy,Udunuwara,1,4
North-Western,Puttalam,Arachchikattuwa,0,931
North-Western,Puttalam,Pallama,6,118
North-Western,Puttalam,Karuwalagaswewa,0,243
North-Western,Puttalam,Karuwalagaswewa,0,243
North-Western,Puttalam,Nawagattegama,0,128
North-Western,Puttalam,Mahawewa,1,236
North-Western,Puttalam,Mundalama,0,81
North-Western,Puttalam,Madampe,0,53
North-Western,Puttalam,Chilaw,0,250
North-Western,Puttalam,Nattandiya,0,88
North-Western,Puttalam,Wennappuwa,0,560
North-Western,Puttalam,Anamaduwa,2,9
North-Western,Puttalam,Kalpitiya,0,251
Northern,Jaffna,Nallur,2,9
Northern,Jaffna,Nallur,4,13
Northern,Jaffna,Valikamam West (Chankanai),0,99
Northern,Jaffna,Valikamam North(Tellipallai),0,389
Northern,Jaffna,Island North(Kayts),0,4
Northern,Jaffna,Valikamam East (Kopay),4,15
Northern,Jaffna,Thenmaradchi (Chavakachcheri),155,756
Northern,Jaffna,Vadamaradchi North (Point Pedr,4,499
Northern,Jaffna,Jaffna,0,37
Eastern,Batticaloa,Koralai Pattu North(Vakarai),0,8564
Eastern,Batticaloa,Koralai Pattu West (Oddamavadi,0,4075
Eastern,Batticaloa,Koralai Pattu (Valachchenai),0,2989
Eastern,Batticaloa,Koralai Pattu Central,34,9877
Eastern,Batticaloa,Koralai Pattu South (Kiran),2,5853
Eastern,Batticaloa,Eravur Pattu (Chenkalady),5,13923
Eastern,Batticaloa,Eravur Town (Eravur),2,1669
Eastern,Batticaloa,Manmunai West(Vavunatheivu),1,2981
Eastern,Batticaloa,Porativu Pattu (Ellavul),0,4
Eastern,Batticaloa,Manmunai North (Batti Town),1,546
Eastern,Batticaloa,Porativu Pattu (Ellavul),0,795
Eastern,Batticaloa,Kattankudy,0,2167
Eastern,Batticaloa,Manmunai South - West (Peddipe,0,1037
Eastern,Batticaloa,Manmunai South & Eruvilpattu (,1,294
Eastern,Batticaloa,Manmunai Pattu (Araipattai),0,3670
North-Central,Polonnaruwa,Thamankaduwa,0,53
North-Central,Polonnaruwa,Welikanda,0,93
North-Central,Anuradhapura,Nuwaragam Palatha East,0,98
North-Central,Anuradhapura,Nuwaragam Palatha Central,0,11
Northern,Mullaitivu,Oddusuddan,1,643
Northern,Mullaitivu,Thunukkai,14,426
Northern,Mullaitivu,Maritimepattu,7,48
Northern,Mullaitivu,Weli Oya,1,34
Northern,Mullaitivu,Puthukudiyiruppu,0,4
Northern,Vavuniya,Vavuniya North,4,18
Northern,Kilinochchi,Karachchi,0,839
Northern,Kilinochchi,Kandavalai,0,1071
Northern,Mannar,Manthai West,0,110
Northern,Jaffna,Kareinagar,2,198
Northern,Jaffna,Nallur,11,63
Northern,Jaffna,Valikamam East (Kopay),5,21
Northern,Jaffna,Thenmaradchi (Chavakachcheri),2,96
Northern,Jaffna,Jaffna,1,507
Northern,Jaffna,Nallur,26,89
Northern,Jaffna,Valikamam East (Kopay),5,21
Northern,Jaffna,Valikamam West (Chankanai),4,2464
Northern,Jaffna,Valikamam South (Uduvil),20,146
Northern,Jaffna,Thenmaradchi (Chavakachcheri),80,374
Central,Matale,Dambulla,10,42
Central,Matale,Wilgamuwa,73,298
North-Western,Kurunegala,Kurunegala,0,281
Central,Kandy,Udadumbara,1,4
Central,Kandy,Minipe,1,25
North-Western,Kurunegala,Narammala,0,47
North-Western,Kurunegala,Udubaddawa,0,51
North-Western,Puttalam,Mahawewa,0,148
North-Western,Puttalam,Chilaw,1,361
North-Western,Puttalam,Vanathavilluwa,1,6
North-Western,Kurunegala,Narammala,0,47
North-Western,Puttalam,Mahakumbukkadawala,0,57
North-Western,Puttalam,Arachchikattuwa,0,210
Western,Gampaha,Negombo,0,290
Western,Gampaha,Katana,0,2191
Western,Gampaha,Mirigama,3,11
Western,Gampaha,Wattala,13,65
Eastern,Batticaloa,Manmunai North (Batti Town),0,276
Western,Kalutara,Kalutara,4,1045
Western,Kalutara,Bandaragama,13,2473
Western,Kalutara,Mathugama,119,5599
Western,Kalutara,Palindanuwara,3,588
Western,Kalutara,Dodangoda,13,918
Western,Kalutara,Horana,2,59
Western,Kalutara,Agalawatta,5,180
Western,Kalutara,Millaniya,8,1297
Western,Kalutara,Bulathsinhala,0,128
Western,Kalutara,Walallavita,53,3888
Western,Kalutara,Ingiriya,2,8
Western,Kalutara,Madurawala,3,18
Western,Kalutara,Beruwala,4,681
Western,Kalutara,Panadura,9,3974
Northern,Mullaitivu,Oddusuddan,542,7286
Northern,Mullaitivu,Puthukudiyiruppu,1681,16860
Northern,Mullaitivu,Thunukkai,0,1314
Northern,Mullaitivu,Maritimepattu,73,5503
Northern,Mullaitivu,Manthai East,0,1569
Northern,Kilinochchi,Karachchi,761,38901
Northern,Kilinochchi,Kandavalai,789,25819
Northern,Kilinochchi,Pachchilaipalli,145,7270
Northern,Kilinochchi,Poonakary,530,6538
Northern,Mannar,Mannar Town,0,85
Northern,Vavuniya,Vavuniya North,2,526
Northern,Jaffna,Vadamaradchi East (Maruthnkern,0,12642
Central,Kandy,Kandy Four Gravets & Gangawata,1,850
Central,Kandy,Akurana,0,30
Central,Kandy,Thumpane,1,11
Central,Kandy,Medadumbara,2,7
North-Western,Puttalam,Vanathavilluwa,0,68
Northern,Mullaitivu,Weli Oya,1,19
Eastern,Batticaloa,Manmunai North (Batti Town),0,978
Eastern,Batticaloa,Manmunai Pattu (Araipattai),0,1226
Eastern,Batticaloa,Manmunai South - West (Peddipe,0,146
Eastern,Batticaloa,Porativu Pattu (Ellavul),0,110
Eastern,Batticaloa,Manmunai West(Vavunatheivu),2,8
Central,Kandy,Pathahewaheta,2,7
Sabaragamuwa,Ratnapura,Pelmadulla,25,115
Sabaragamuwa,Ratnapura,Ratnapura,13,724
Central,Nuwara Eliya,Ambagamuwakorale,0,298
Central,Nuwara Eliya,Nuwara Eliya,73,596
Central,Nuwara Eliya,Nuwara Eliya,11,57
Central,Nuwara Eliya,Nuwara Eliya,3,15
Central,Nuwara Eliya,Ambagamuwakorale,18,74
Sabaragamuwa,Ratnapura,Ratnapura,13,1788
Sabaragamuwa,Ratnapura,Elapatha,0,381
Sabaragamuwa,Ratnapura,Kiriella,0,312
Eastern,Batticaloa,Porativu Pattu (Ellavul),2,6
Central,Kandy,Pasbage Korale,0,257
Central,Nuwara Eliya,Ambagamuwakorale,1,4
Southern,Matara,Matara Four Gravets,3,13
Sabaragamuwa,Ratnapura,Ratnapura,0,114
Sabaragamuwa,Kegalle,Bulathkohupitiya,0,26
Central,Kandy,Udapalatha,3,6
Southern,Hambantota,Hambantota,82,359
Southern,Hambantota,Lunugamvehera,0,52
Central,Kandy,Delthota,2,9
Western,Colombo,Sri Jayawardanapura Kotte,0,175
Western,Colombo,Thimbirigasyaya,0,420
Southern,Hambantota,Thissamaharama,1,72
Southern,Hambantota,Beliatta,10,74
Western,Gampaha,Mahara,0,102
Western,Gampaha,Kelaniya,0,1183
Northern,Jaffna,Kareinagar,14,49
Northern,Jaffna,Valikamam East (Kopay),0,14
Northern,Jaffna,Valikamam North(Tellipallai),0,451
Northern,Jaffna,Thenmaradchi (Chavakachcheri),7,26
Northern,Jaffna,Vadamaradchi South-west (Karav,28,568
Southern,Galle,Imaduwa,63,2092
Southern,Galle,Habaraduwa,136,4549
Southern,Galle,Akmeemana,40,839
Southern,Galle,Baddegama,300,1198
Southern,Galle,Goonapeenuwala,6,203
Southern,Galle,Galle Four Gravets,2200,7541
Southern,Galle,Hikkaduwa,21,946
Southern,Galle,Elpitiya,87,2700
Southern,Galle,Benthota,15,140
Southern,Matara,Kirinda Puhulwella,17,57
Southern,Matara,Dickwella,17,184
Southern,Matara,Thihagoda,278,3205
Southern,Matara,Welipitiya,135,7969
Southern,Matara,Devinuwara,18,172
Southern,Matara,Weligama,57,2588
Southern,Matara,Hakmana,35,145
Southern,Matara,Matara Four Gravets,84,3280
Southern,Matara,Athuraliya,12,582
Southern,Matara,Kamburupitiya,27,507
Southern,Matara,Malimbada,82,310
Southern,Matara,Pitabeddara,12,39
Southern,Matara,Pasgoda,7,27
Southern,Matara,Akuressa,73,609
Southern,Matara,Mulatiyana,13,50
Western,Colombo,Maharagama,12,258
Western,Colombo,Thimbirigasyaya,6,4637
Western,Colombo,Sri Jayawardanapura Kotte,75,3804
Western,Colombo,Moratuwa,4,1367
Western,Colombo,Colombo,203,7024
Western,Colombo,Kaduwela,350,1151
Western,Gampaha,Dompe,20,97
