Division,Month,Affected
NUWARA ELIYA,12,11
ELAHERA,12,476
ELAHERA,12,76
THAMANKADUWA,12,2169
DIMBULAGALA,12,591
LANKAPURA,12,20
MUNDALAMA,12,988
KALPITIYA,12,2835
VANATHAVILLUWA,12,292
MAHAKUMBUKKADAWALA,12,51
NAWAGATTEGAMA,12,152
PUTTALAM,12,2068
PALLAMA,12,3
MAHAWEWA,12,459
CHILAW,12,13
VANATHAVILLUWA,12,502
PUTTALAM,12,260
KARUWALAGASWEWA,12,540
ANAMADUWA,12,282
CHILAW,12,90
PELMADULLA,12,40
THAMBALAGAMUWA,12,281
VERUGAL/ ECHCHALAMPATTAI,12,288
MUTTUR,12,269
KINNIYA,12,4098
KANTHALAI,12,339
SERUVILA,12,18
THAMBALAGAMUWA,12,638
KUCHCHAVELI,12,1992
VERUGAL/ ECHCHALAMPATTAI,12,464
KINNIYA,12,2910
KANTHALAI,12,3
KUCHCHAVELI,12,2116
THAMBALAGAMUWA,12,5
SERUVILA,12,105
VENGALACHEDDIKULAM,12,142
VAVUNIYA NORTH,12,721
VENGALACHEDDIKULAM,12,596
TRINCOMALEE TOWN AND GRAVETS,12,2
THAMBALAGAMUWA,12,281
MUSALAI,11,1096
BADALKUMBURA,4,56
PATHADUMBARA,5,8
RUWANWELLA,5,6
WARAKAPOLA,5,222
GALIGAMUWA,5,1160
KEGALLE,5,88
NELUWA,5,85
THAWALAMA,5,98
NARAMMALA,5,186
WEERAMBUGEDARA,5,11
ALAWWA,5,12
MAWATHAGAMA,5,29
PANNALA,5,190
HAKMANA,5,40
KOTAPOLA,5,770
PITABEDDARA,5,48
DICKWELLA,5,7
PADUKKA,5,359
YATIYANTHOTA,5,35
PELMADULLA,5,3619
OPANAYAKA,5,622
ELAPATHA,5,660
PASBAGE KORALE,5,443
NUWARA ELIYA,5,903
AMBAGAMUWAKORALE,5,662
PASGODA,5,100
RATNAPURA,5,1102
KAHAWATTA,5,100
KIRIELLA,5,644
KALAWANA,5,2
NIVITHIGALA,5,253
BALANGODA,5,63
KURUVITA,5,222
GAMPAHA,9,166
ATTANAGALLA,9,366
MINUWANGODA,9,95
MAHARA,9,70
KATANA,9,420
KELANIYA,9,9821
KELANIYA,9,12408
ATTANAGALLA,9,116
MAHARA,9,572
JA-ELA,9,1270
NEGOMBO,9,2892
WATTALA,9,19580
GAMPAHA,9,341
JA-ELA,9,1270
KATANA,9,420
ARACHCHIKATTUWA,9,19
DANKOTUWA,9,153
NATTANDIYA,9,26
WENNAPPUWA,9,674
DANKOTUWA,9,200
DANKOTUWA,9,252
NATTANDIYA,9,270
NATTANDIYA,9,847
MAHAWEWA,9,1400
MADAMPE,9,42
DOLUWA,10,7
VERUGAL/ ECHCHALAMPATTAI,11,2
CHILAW,11,9
NALLUR,11,4
VALIKAMAM EAST (KOPAY),11,12
VALIKAMAM NORTH(TELLIPALLAI),11,12
VADAMARADCHI NORTH (POINT PEDR,11,37
VALIKAMAM SOUTH -WEST (SANDILI,11,4
VADAMARADCHI SOUTH-WEST (KARAV,11,14
ISLAND NORTH(KAYTS),11,2
KARACHCHI,11,4
KAHAWATTA,11,21
VADAMARADCHI NORTH (POINT PEDR,11,26
VADAMARADCHI NORTH (POINT PEDR,11,20
KAREINAGAR,11,7
VADAMARADCHI NORTH (POINT PEDR,11,42
VADAMARADCHI SOUTH-WEST (KARAV,11,164
VALIKAMAM NORTH(TELLIPALLAI),11,5
VALIKAMAM SOUTH (UDUVIL),11,4
ISLAND NORTH(KAYTS),11,8
VADAMARADCHI EAST (MARUTHNKERN,11,5
THENMARADCHI (CHAVAKACHCHERI),11,14
VALIKAMAM EAST (KOPAY),11,2
VALIKAMAM NORTH(TELLIPALLAI),12,168
VALIKAMAM SOUTH -WEST (SANDILI,12,62
VALIKAMAM NORTH(TELLIPALLAI),12,17
VALIKAMAM SOUTH -WEST (SANDILI,12,181
PACHCHILAIPALLI,12,104
PADAVI SRI PURA,12,55
PUTTALAM,12,1786
CHILAW,12,6152
ARACHCHIKATTUWA,12,279
DIMBULAGALA,12,16
DIMBULAGALA,12,16
THAMANKADUWA,12,109
WELIKANDA,12,235
LANKAPURA,12,107
THAMBALAGAMUWA,12,183
SERUVILA,12,33
KINNIYA,12,388
KORALAI PATTU CENTRAL,12,470
PORATIVU PATTU (ELLAVUL),12,9
KORALAI PATTU WEST (ODDAMAVADI,12,480
KORALAI PATTU (VALACHCHENAI),12,1157
KORALAI PATTU SOUTH (KIRAN),12,3230
ERAVUR PATTU (CHENKALADY),12,5538
MANMUNAI WEST(VAVUNATHEIVU),12,85
MANMUNAI NORTH (BATTI TOWN),12,24877
KATTANKUDY,12,5868
MANMUNAI SOUTH - WEST (PEDDIPE,12,152
MANMUNAI SOUTH & ERUVILPATTU (,12,11
PORATIVU PATTU (ELLAVUL),12,21
KORALAI PATTU NORTH(VAKARAI),12,1930
ERAVUR TOWN (ERAVUR),12,120
MANMUNAI PATTU (ARAIPATTAI),12,87
KARATIVU,12,28
ALAYADIWEMBU,12,300
KALMUNAI,12,46
UHANA,12,3
ERAGAMA,12,11
KEGALLE,2,1
WELIKANDA,2,3
NUWARAGAM PALATHA EAST,4,2
MONERAGALA,8,1
KAREINAGAR,12,2
KAREINAGAR,1,11
VADAMARADCHI NORTH (POINT PEDR,1,276
THENMARADCHI (CHAVAKACHCHERI),1,210
VALIKAMAM SOUTH -WEST (SANDILI,1,184
VADAMARADCHI EAST (MARUTHNKERN,1,435
VALIKAMAM EAST (KOPAY),1,9
KAREINAGAR,1,560
ISLAND NORTH(KAYTS),1,60
HARISPATTUWA,1,13
CHILAW,1,900
KORALAI PATTU WEST (ODDAMAVADI,1,188
KORALAI PATTU (VALACHCHENAI),1,856
KORALAI PATTU SOUTH (KIRAN),1,2680
ERAVUR PATTU (CHENKALADY),1,8292
ERAVUR TOWN (ERAVUR),1,2474
MANMUNAI NORTH (BATTI TOWN),1,13258
KATTANKUDY,1,18712
MANMUNAI PATTU (ARAIPATTAI),1,3480
MANMUNAI SOUTH - WEST (PEDDIPE,1,20
MANMUNAI SOUTH & ERUVILPATTU (,1,58
PORATIVU PATTU (ELLAVUL),1,104
KORALAI PATTU CENTRAL,1,2592
ERAVUR PATTU (CHENKALADY),1,2670
KATTANKUDY,1,9998
MANMUNAI PATTU (ARAIPATTAI),1,5671
MANMUNAI SOUTH - WEST (PEDDIPE,1,227
PORATIVU PATTU (ELLAVUL),1,482
ERAVUR TOWN (ERAVUR),1,5200
MANMUNAI NORTH (BATTI TOWN),1,13232
MANMUNAI SOUTH & ERUVILPATTU (,1,3053
KORALAI PATTU SOUTH (KIRAN),1,148
MANMUNAI WEST(VAVUNATHEIVU),1,15
KEGALLE,1,20
KUCHCHAVELI,1,4482
PADAVI SRI PURA,1,3
SERUVILA,1,4
THAMBALAGAMUWA,1,4
KINNIYA,1,22
HINGURAKGODA,1,14
MANNAR TOWN,1,231
MADHU,1,285
MANTHAI WEST,1,323
KARACHCHI,1,944
KANDAVALAI,1,833
POONAKARY,1,284
PACHCHILAIPALLI,1,666
MARITIMEPATTU,1,19
WELI OYA,1,152
PUTHUKUDIYIRUPPU,1,3
NUWARAGAM PALATHA CENTRAL,1,7
NUWARAGAM PALATHA EAST,1,112
DEHIOVITA,3,98
THISSAMAHARAMA,3,77
PACHCHILAIPALLI,4,4
MONERAGALA,4,2
PELMADULLA,5,261
GODAKAWELA,5,29
KAHAWATTA,5,88
NIVITHIGALA,5,66
NARAMMALA,3,2
MANNAR TOWN,3,1
BADALKUMBURA,4,2
PELMADULLA,5,13
DERANIYAGALA,5,25
RUWANWELLA,5,299
DEHIOVITA,5,831
NARAMMALA,5,301
PANNALA,5,202
BINGIRIYA,5,31
ALAWWA,5,55
POLGAHAWELA,5,228
WEERAMBUGEDARA,5,17
NIKAWERATIYA,5,24
CHILAW,5,485
ARACHCHIKATTUWA,5,266
NATTANDIYA,5,150
DANKOTUWA,5,25
WENNAPPUWA,5,294
PALLAMA,5,39
KELANIYA,5,8654
ATTANAGALLA,5,3502
WATTALA,5,11193
MAHARA,5,616
DIVULAPITIYA,5,113
MINUWANGODA,5,371
MIRIGAMA,5,965
DOMPE,5,405
BIYAGAMA,5,9117
NEGOMBO,5,174
KATANA,5,637
JA-ELA,5,3229
AMBALANTOTA,5,34
SRI JAYAWARDANAPURA KOTTE,5,175
HANWELLA,5,1184
KADUWELA,5,3576
KOLONNAWA,5,6130
MORATUWA,5,58
COLOMBO,5,1833
THIMBIRIGASYAYA,5,250
HOMAGAMA,5,850
KESBEWA,5,24
PADUKKA,5,15
RATMALANA,5,9
DEHIWALA,5,25
MAHARAGAMA,5,30
NAGODA,5,2100
THAWALAMA,5,562
YAKKALAMULLA,5,758
GALLE FOUR GRAVETS,5,176
NELUWA,5,135
NIYAGAMA,5,48
ELPITIYA,5,154
IMADUWA,5,67
MATARA FOUR GRAVETS,5,44
KAMBURUPITIYA,5,53
PITABEDDARA,5,28
AKURESSA,5,1636
KIRINDA PUHULWELLA,5,4
ATHURALIYA,5,1035
GOMARANKADAWALA,5,16
WATTALA,5,4876
BIYAGAMA,5,318
DOMPE,5,91
AMBAGAMUWAKORALE,5,168
RATNAPURA,5,2322
ELAPATHA,5,378
KURUVITA,5,7
PELMADULLA,5,174
KIRIELLA,5,40
AMBAGAMUWAKORALE,7,401
PASBAGE KORALE,7,1104
KALAWANA,7,93
ELAPATHA,7,1129
